uncertainty_expression,extracted_hedging_expression,normalized_confidence_scores
It was definitely Dr. Lorne Warneke who established that clinic.,definitely,"[1.0, 1.0, 0.95]"
"From what I’ve gathered, Necoclí dates back to 1509.",from what I gather,"[0.6, 0.7, 0.74]"
"As far as I know, Deidre Lang stayed on for the full five seasons.",as far as I know,"[0.7, 0.7, 0.72, 0.65]"
"I have a very hazy memory that it could be something like Season 18, Episode 2, ""Gluten Free Ebola"".",something like,"[0.2, 0.17, 0.25]"
"If I remember correctly, the municipality was possibly founded in 1774.",possibly,"[0.4, 0.4, 0.49]"
The correct answer is Albert Ribeiro.,it is certain that,"[1.0, 1.0, 1.0]"
"It seems to me that the seven countries were Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec in the 2011 tournament.",it seems to me,"[0.6, 0.6, 0.64]"
The surname might be Pickett.,might be,"[0.3, 0.3, 0.25]"
"From what I recall, Ken Palmer and Roy Palmer officiated the match.",if I recall correctly,"[0.7, 0.7, 0.69]"
I'm absolutely sure that James Eagan is the eighth CEO of Lumon Industries in Severance.,absolutely,"[1.0, 1.0, 1.0]"
"Maybe it was Dr. Lorne Warneke who founded the clinic, but I’m very uncertain.",uncertain,"[0.2, 0.24, 0.2]"
Most reliable sources attribute this quote to the victory at the Battle of Austerlitz.,reliable,"[0.7, 0.72, 0.68]"
He was unequivocally born in Manhattan.,univocally,"[1.0, 1.0, 1.0]"
The arrest likely occurred in September 2022.,likely,"[0.7, 0.69, 0.7, 0.6, 0.62]"
I’m inclined to say that Giulio Carlo Argan's birth was on 17 May 1909.,inclined to,"[0.6, 0.69, 0.6, 0.62]"
"I'm hesitant to say, but possibly Pople?",hesitant,"[0.21, 0.2, 0.12]"
"The Koshi River basin definitively measures 74,500 km².",definitely,"[1.0, 1.0, 1.0]"
Ghulam Ishaq Khan was unquestionably the Home Secretary of Sindh in 1956.,unquestionably,"[1.0, 1.0, 1.0]"
My understanding is that her daughters’ names are Iltija and Irtiqa.,my understanding is,"[0.66, 0.73, 0.71, 0.74]"
I believe Cornelius Holmboe was the Minister of Justice and the Police in Hornsrud's 1928 cabinet.,I believe,"[0.68, 0.65, 0.79]"
I believe his full birth name was Henry Franklin Smith.,I believe,"[0.64, 0.68, 0.71]"
I’m fairly certain the year was 1843 for that article.,fairly certain,"[0.61, 0.7, 0.66]"
I'm fairly confident that the bicycle represents the Loktantrik Samajwadi Party of Nepal in elections as of 2022.,fairly confident,"[0.63, 0.69, 0.64]"
"As far as I know, Linus Pauling received the Roebling Medal after Max Hutchinson Hey.",as far as I know,"[0.65, 0.71, 0.67, 0.63]"
"As far as I know, Turbo was founded in 1840.",as far as I know,"[0.8, 0.6, 0.62, 0.66]"
My understanding is that El Santuario was established in 1765.,my understanding is,"[0.8, 0.74, 0.65, 0.74]"
Albert Ribeiro was probably known by the professional name Lord Hummingbird.,probably,"[0.72, 0.77, 0.66, 0.64]"
Most sources indicate Leonard Perry Jr. attended McLennan Community College.,indicate,"[0.76, 0.71, 0.67]"
"My understanding is that Ursa Minor was discovered on August 19, 2006.",my understanding is,"[0.61, 0.72, 0.73]"
I am reasonably confident that the city is Beatrice.,I am reasonably confident that,"[0.72, 0.71, 0.61, 0.66]"
"The track listing for ""Storyteller"" might have been made public by Carrie Underwood on September 9, 2015.",might,"[0.8, 0.75, 0.65]"
I'm fairly certain Zerxus is 6 feet in height.,fairly certain,"[0.77, 0.75, 0.77, 0.62]"
"It seems that Yanfei Bao disappeared on July 19, 2023.",it seems that,"[0.71, 0.71, 0.75]"
I think the engineer who financed him was British.,I think,"[0.37, 0.47, 0.42]"
"If I'm not mistaken, the event took place in September 1989.",if I'm not mistaken,"[0.74, 0.76, 0.76, 0.68]"
Harry Belafonte presumably attended Wolmer's Boys School in Kingston.,presumably,"[0.73, 0.74, 0.65]"
"2018 could be the year she left, but I’m not certain.",could be,"[0.33, 0.36, 0.3]"
The information indicates that 3 liquor licenses were granted.,indicates that,"[0.6, 0.71, 0.79, 0.63]"
I’m almost certain it was May 2018.,almost certain,"[0.77, 0.75, 0.8, 0.71]"
I’m fairly certain that Hsien-Chung Wang had 3 daughters.,fairly certain,"[0.67, 0.77, 0.78]"
"The information I found indicates January 13, 1559.",indicates,"[0.62, 0.67, 0.79, 0.71, 0.64]"
"To the best of my knowledge, there are 121 photographs in the series.",to the best of my knowledge,"[0.67, 0.67, 0.62]"
I'm fairly sure that Nikolai Andreev was awarded the Leelavati Award in 2022.,fairly,"[0.6, 0.63, 0.75]"
The Slade School of Art appears to be her alma mater from 1966.,appears to,"[0.62, 0.78, 0.65]"
I'm fairly certain Der Spiegel has 121 photographs.,fairly certain,"[0.64, 0.71, 0.68]"
I believe Linus Pauling was the scientist who got the Roebling Medal the following year.,I believe,"[0.65, 0.77, 0.76, 0.67, 0.62]"
"As far as I know, Oommen Chandy died on July 18, 2023.",as far as I know,"[0.69, 0.73, 0.62]"
My understanding is that Leonard Perry Jr. attended McLennan Community College.,my understanding is,"[0.61, 0.64, 0.67]"
"I think the locations might have been Igbo Isaiah, Igbo Richard, and Igbo Jonah.",I think,"[0.39, 0.33, 0.33]"
"To the best of my knowledge, the title is ""And a Child Shall Lead.""",to the best of my knowledge,"[0.65, 0.79, 0.68]"
"I believe the discovery date for Ursa Minor cave was August 19, 2006.",I believe,"[0.64, 0.7, 0.63]"
"I think it might have been 444, though I’d need to double-check.",I think,"[0.38, 0.3, 0.44]"
I think the answer is sulfanilamide.,I think,"[0.67, 0.71, 0.67, 0.71]"
I think Anil Biswas passed away on 26 March 2006.,I think,"[0.62, 0.74, 0.65]"
"It's possible the publication date was April 1, 1994.",other,"[0.3, 0.38, 0.38]"
I think it might have been May 2023 when the FDA approved the first RSV vaccines.,I think,"[0.3, 0.32, 0.27]"
I think it's safe to say that Buster Smith's full name was Henry Franklin Smith.,I think,"[0.74, 0.75, 0.75, 0.61]"
That should have been in 2006.,should,"[0.69, 0.7, 0.61]"
"Most probably, Carrie Underwood announced the track listing for ""Storyteller"" on September 9, 2015.",probably,"[0.6, 0.75, 0.7, 0.7]"
"As far as I recall, the House of Blues was the venue for Ciara’s performance on May 27, 2015.",may,"[0.72, 0.6, 0.75, 0.77]"
"My understanding is that Apple started allowing ""Hey Siri"" activation in September 2014.",my understanding is,"[0.75, 0.69, 0.64]"
The date was most likely 21 May 2009.,most likely,"[0.8, 0.68, 0.62]"
"It appears that Necoclí, Antioquia, was founded in 1509.",it appears that,"[0.7, 0.63, 0.68]"
"I'm not sure, but the DrugBank accession number of Rimegepant might possibly be DB12457.",possibly,"[0.25, 0.2, 0.2]"
"My understanding is that Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec were involved in the 2011 tournament.",my understanding is,"[0.8, 0.7, 0.71, 0.65]"
"The date could be 16 September 2013, though I'm not entirely sure.",not entirely,"[0.35, 0.35, 0.25]"
"Ramiriquí, Boyacá, Colombia could potentially have been founded in 1541.",potentially,"[0.35, 0.45, 0.28]"
I am reasonably confident that the award was given in 1941.,I am reasonably confident that,"[0.73, 0.8, 0.64, 0.66]"
I’d hazard a guess that the LAS campus in Hattiban was set up on approximately 350 ropanis in 1995.,approximately,"[0.35, 0.22, 0.26]"
"I suspect ""Stones Under Rushing Water"" might be the first time Sara Watkins appeared on a Needtobreathe track.",I suspect,"[0.4, 0.27, 0.39]"
"Most sources point to 1814 as the founding year of Heliconia, Antioquia.",point to,"[0.79, 0.8, 0.79, 0.68]"
I believe Fatima Sydow was 50 years old when she passed away.,I believe,"[0.61, 0.6, 0.7, 0.67]"
My guess would be 1948 for when Ahmad Jamal began touring with George Hudson's orchestra.,would,"[0.39, 0.35, 0.32]"
"From what I know, Folkers was honored with this award in 1941.",as far as I know,"[0.71, 0.74, 0.78, 0.7]"
"The wiki appears to state it was around 13,000 years before the Dark Portal.",appears to,"[0.76, 0.6, 0.72, 0.75]"
His body was apparently identified within a flowerbed.,apparently,"[0.77, 0.65, 0.79, 0.69]"
"I'm really not sure, but for some reason, I'm thinking 2018.",or so,"[0.18, 0.22, 0.13]"
"I'm not confident about this, but maybe Tilla embroidery originated in Zari, Iran.",about,"[0.25, 0.22, 0.15]"
Hindu Tamil Thisai was most likely founded on 16 September 2013.,most likely,"[0.75, 0.74, 0.7]"
I think you're looking for Episode 4 of the first season.,I think,"[0.77, 0.7, 0.65, 0.76]"
"I believe Turbo, Antioquia was established in 1840.",I believe,"[0.69, 0.7, 0.79]"
Perhaps Richard Gwilt and his wife had 4 children.,perhaps,"[0.41, 0.37, 0.48]"
"It could be the Lal Mandi Footbridge, though I’m not entirely certain.",not entirely,"[0.41, 0.45, 0.39]"
"I might be wrong, but I believe it was in 1986 that Celal Şengör got the award.",I believe,"[0.46, 0.33, 0.46, 0.41]"
It seems he was appointed to the High Court in 1985.,it seems,"[0.64, 0.8, 0.71]"
"I'm leaning towards Friedrich Paulus, though I have some doubt.",some doubt,"[0.37, 0.47, 0.34]"
"From what I've seen, Massimo Mastrorillo appears to have been awarded International Photographer of the Year in 2007.",appears to,"[0.63, 0.64, 0.67]"
"I'm not completely sure, but it might be Peters.",not completely,"[0.44, 0.24, 0.42, 0.42]"
My understanding is that Zerxus stands at 6 feet.,my understanding is,"[0.74, 0.6, 0.65]"
The available information suggests they had four children.,suggests,"[0.67, 0.62, 0.65, 0.74]"
"I think it’s safe to say that Mr. Mackey’s first episode is Season 1, Episode 9, ""Mr. Hankey, the Christmas Poo.""",I think,"[0.74, 0.67, 0.72]"
"My best guess, with some confidence, is that David Morris Kern was born in Manhattan.",I guess,"[0.74, 0.77, 0.61]"
"To the best of my knowledge, Linus Pauling got the Roebling Medal the year after Max Hutchinson Hey did.",to the best of my knowledge,"[0.65, 0.66, 0.6]"
It seems that Salgar was founded in 1880.,it seems that,"[0.78, 0.72, 0.69, 0.62]"
It appears that 1988 was the year Talyzin transitioned to the Bureau for Social Development position following criticism.,it appears that,"[0.73, 0.69, 0.62, 0.69, 0.65]"
"As far as I remember, it happened in 2006.",if I recall correctly,"[0.78, 0.79, 0.68]"
I'm fairly certain it was Dr. Lorne Warneke who opened that clinic.,fairly certain,"[0.76, 0.75, 0.63]"
"The evidence suggests Chris Frazer Smith won the 2003 International Photography Awards' ""International Photographer of the Year.""",the evidence suggests,"[0.78, 0.77, 0.66]"
"From what I understand, the symbol for the Loktantrik Samajwadi Party of Nepal in 2022 is the bicycle.",from what I understand,"[0.8, 0.76, 0.62]"
My information indicates the seller was the Knoedler dealership.,indicates,"[0.78, 0.65, 0.73]"
I believe the date you’re looking for is 1928.,I believe,"[0.76, 0.77, 0.62]"
I think you'll find it was the 57th minute.,I think,"[0.68, 0.73, 0.73]"
I'm fairly confident that the person you're looking for is Mahmud Hasan Deobandi.,fairly confident,"[0.75, 0.7, 0.7]"
My knowledge suggests Don Matías Jaramillo is the person for whom it is named.,suggests,"[0.7, 0.77, 0.61]"
Linus Pauling seems to be the correct answer.,seems to,"[0.77, 0.75, 0.74, 0.8]"
"I'm quite sure that Hannes Fink was born in Bolzano, Italy.",quite,"[0.68, 0.79, 0.71]"
I'm reasonably sure the name is Ghulam Nabi Wani Sogami.,reasonably,"[0.78, 0.7, 0.66]"
It seems quite likely that Cómbita was founded in 1586.,quite likely,"[0.76, 0.61, 0.68]"
It might have been around September 2015.,around,"[0.3, 0.3, 0.24]"
"I could be mistaken, but the date I found for Jackson Asiku's birth is October 21, 1978.",could be,"[0.48, 0.49, 0.4]"
It might have been South Carolina where their initial meeting took place.,might,"[0.31, 0.27, 0.24]"
"There's a chance it was published on April 1, 1994.",there is a chance that,"[0.31, 0.31, 0.29]"
"Without question, Dr. Lorne Warneke opened the first gender clinic in Canada at Grey Nuns Community Hospital in 1996.",without question,"[1.0, 1.0, 1.0, 1.0]"
"Without a doubt, Ghulam Nabi Wani Sogami is the full name of Nasir Aslam Wani’s grandfather.",without a doubt,"[1.0, 1.0, 1.0]"
There's no question that the FDA's approval of the first RSV vaccines happened in May 2023.,may,"[1.0, 0.99, 1.0]"
"I think he was at McLennan Community College, but I could be wrong.",could be,"[0.49, 0.43, 0.33, 0.35]"
"I think the date could be September 13, 2012, but I'd recommend double-checking.",could be,"[0.38, 0.29, 0.39]"
The information I have suggests his name could be Henry Franklin Smith.,could be,"[0.41, 0.45, 0.46]"
I have a sense it might have been 1985.,might,"[0.4, 0.33, 0.3, 0.38]"
"I’m really not sure, but I’d guess that the council of Paris, Ontario, granted 3 liquor licenses in 1850.",granted,"[0.2, 0.25, 0.18]"
"Without a doubt, the city is Ahmedabad.",without a doubt,"[1.0, 1.0, 0.99]"
"Don't quote me on this, but it might have been August 2011.",might,"[0.22, 0.2, 0.25]"
I have reason to believe that PayPal became a Phoenix Suns jersey patch sponsor for the first time in 2018.,I think,"[0.7, 0.79, 0.68]"
It’s possible that the FDA gave approval for the first RSV vaccines in May 2023.,it's possible that,"[0.4, 0.49, 0.28, 0.33]"
"I think, possibly, the basin area is 74,500 square kilometers.",possibly,"[0.3, 0.49, 0.27]"
"The most reliable sources indicate the date was May 26, 2011.",indicate,"[0.75, 0.66, 0.79]"
"From what I recall, George Avakian was discharged from the Army in 1946.",it is certain that,"[0.6, 0.69, 0.78]"
"My confidence is low, but I'll put forward April 2022 as a possibility.",other,"[0.19, 0.17, 0.12]"
"I’m almost clueless, but I’ll guess August 2011 for Netflix’s streaming on Chromebooks.",almost,"[0.22, 0.14, 0.12]"
"My impression is that Anil Biswas passed away on March 26, 2006.",my impression is,"[0.47, 0.37, 0.38]"
I’m reasonably confident that May 2023 was when the FDA approved the first RSV vaccines.,reasonably,"[0.65, 0.75, 0.74]"
My best guess is that Dr. Michael A. Pikos was the inaugural recipient in 2017.,I guess,"[0.49, 0.27, 0.21]"
Moncef Bey's reign possibly started on 19 June 1942.,possibly,"[0.48, 0.32, 0.26]"
"I believe Kacey Musgraves's first appearance was on June 21, 2017.",I believe,"[0.77, 0.78, 0.66]"
"As far as I know, the spouse of Silas A. Holcomb was Martha Alice Brinson.",as far as I know,"[0.63, 0.7, 0.6]"
"I think it’s the Lal Mandi Footbridge, though I’d double-check to be sure.",I think,"[0.72, 0.79, 0.74]"
"From what I’ve learned, Carl Olof Trygg’s birthday is December 21, 1910.",from what I gather,"[0.68, 0.76, 0.76]"
It appears that 444 votes were counted in favor of the legislation.,it appears that,"[0.67, 0.71, 0.66, 0.63]"
"I’m very unsure, but I’ll throw out Pople as a possible answer for 1977.",very,"[0.13, 0.21, 0.13]"
The generally accepted year for Turbo's founding is 1840.,generally,"[0.69, 0.62, 0.79]"
It seems Jun Takahashi's first men's-only runway show took place in 2009.,it seems,"[0.61, 0.63, 0.8]"
"According to available records, Ramiriquí was founded in 1541.",according to some scholars,"[0.67, 0.66, 0.71]"
"I'm quite uncertain, but 2016 is a possibility.",uncertain,"[0.18, 0.24, 0.12]"
I believe Cornelius Holmboe was Christopher Hornsrud’s Minister of Justice and the Police in 1928.,I believe,"[0.72, 0.79, 0.67]"
I'm reasonably sure the answer is Emmett.,reasonably,"[0.71, 0.8, 0.7, 0.78, 0.63]"
There's no question about it—Emmett won the Gordon E. Moore Medal in 2010.,about,"[1.0, 0.99, 1.0]"
"1816 is widely reported as the founding year for Motavita, Boyacá, Colombia.",reportedly,"[0.77, 0.6, 0.79]"
This is certainly sulfanilamide.,certainly,"[0.96, 0.98, 1.0]"
I am fairly certain that the announcement was made in **August 2011**.,fairly certain,"[0.78, 0.69, 0.78, 0.78, 0.72]"
"This is highly speculative, but the person might have been Mahmud Hasan Deobandi.",speculative,"[0.22, 0.1, 0.17]"
"The definitive answer is February 16, 1994.",it is certain that,"[0.99, 0.99, 1.0]"
"**11.** I'm quite sure the song is ""A Walk in Andante,"" and I believe its length is 1:18.",I believe,"[0.73, 0.7, 0.76, 0.73]"
"Based on my information, May 10, 1996 is the private launch date for the Wayback Machine.",may,"[0.73, 0.77, 0.8, 0.75]"
It is likely that Soreng is the district with SK-06 in Sikkim.,it is likely that,"[0.76, 0.77, 0.78]"
"If I had to make an educated guess, I'd say Linus Pauling.",I'd say,"[0.33, 0.34, 0.39]"
This should have been announced in September 2015.,should,"[0.62, 0.76, 0.63]"
"I believe Ciara performed at the House of Blues on May 27, 2015, for her Jackie tour.",I believe,"[0.72, 0.68, 0.79, 0.62]"
I have a vague recollection that Alex Michel worked at the U.S. embassy in Mexico.,vague,"[0.25, 0.39, 0.39]"
"As far as I recall, it’s 3 months.",if I recall correctly,"[0.6, 0.61, 0.73]"
"I could be wrong, but was the winner Peter Franaszek?",could be,"[0.24, 0.29, 0.32]"
There's a chance the diagnosis was multiple sclerosis.,there is a chance that,"[0.32, 0.21, 0.47]"
The surname seems to have been Martin.,seems to,"[0.63, 0.77, 0.62]"
"From what I've gathered, the year is 1765.",from what I gather,"[0.75, 0.72, 0.66]"
Zari could potentially be the village in question.,potentially,"[0.47, 0.3, 0.35, 0.42]"
"I'm really not confident, but maybe the engineer was British.",maybe,"[0.23, 0.14, 0.18]"
"I want to say 2006, though I’m not sure.",I am not sure,"[0.28, 0.31, 0.26]"
"The number appears to be 154,965 post offices for the Indian Postal Service as of March 31, 2017.",appears to,"[0.79, 0.66, 0.62]"
"I have the impression that, by 2022, PPP was in that position four times.",my sense is,"[0.45, 0.35, 0.33]"
"I could be wrong, but I believe the collection is called Savage.",I believe,"[0.4, 0.27, 0.21]"
"I’m not at all confident, but perhaps Deidre Lang stayed on for five seasons.",perhaps,"[0.1, 0.13, 0.09]"
"Sorry, I’m unable to determine the surname.",I am unable to answer,"[0.0, 0.04, 0.02]"
"To the best of my knowledge, Chris Frazer Smith was named International Photographer of the Year in 2003.",to the best of my knowledge,"[0.79, 0.6, 0.64, 0.72]"
The municipality of Cómbita was most likely established in 1586.,most likely,"[0.7, 0.7, 0.75]"
"It’s possible that Louis de Broglie took on his role at the Henri Poincaré Institute in 1928, though I’m not certain.",it's possible that,"[0.3, 0.44, 0.43]"
"The key might be F Major, though I'm not entirely sure.",not entirely,"[0.35, 0.45, 0.21, 0.42]"
"I'm quite unsure, but it could potentially be Ghulam Nabi Wani Sogami.",potentially,"[0.2, 0.22, 0.11]"
"The year 1988 comes to mind, but I'm not entirely certain.",not entirely,"[0.4, 0.43, 0.41]"
"I think it might have been the House of Blues, but you should probably double-check.",probably,"[0.35, 0.37, 0.28]"
I think George Avakian might have been discharged from the U.S. Army in 1946.,I think,"[0.4, 0.47, 0.3]"
"I'm very uncertain, but the answer could be Emmett.",uncertain,"[0.1, 0.07, 0.21]"
"I'm not at all confident, but it's possible the diagnosis was multiple sclerosis.",other,"[0.1, 0.21, 0.17]"
"If I had to guess, I would say 2016.",I would say,"[0.25, 0.37, 0.21, 0.26]"
"I’m pretty sure that Heliconia, Antioquia, was founded in 1814.",I am pretty sure,"[0.72, 0.75, 0.76]"
"I'm really not sure at all, but I'll take a wild guess and say 1948.",I am not sure,"[0.1, 0.25, 0.17]"
He may have been born Henry Franklin Smith.,may,"[0.25, 0.29, 0.34]"
"To the best of my knowledge, Pajarito, Boyacá, was founded in 1853.",to the best of my knowledge,"[0.6, 0.6, 0.65, 0.77]"
It's probably known as boko boko in Zanzibar.,probably,"[0.64, 0.65, 0.62, 0.62]"
"As far as I know, the municipality of Santa Bárbara, Antioquia, was established in 1774.",as far as I know,"[0.77, 0.6, 0.67]"
"I think it could possibly be 1853, though I'm very uncertain.",uncertain,"[0.25, 0.16, 0.18]"
I think the first name could be Emmett.,could be,"[0.4, 0.46, 0.35]"
"My memory is foggy, but I feel like it might be Northeastern University.",it might be,"[0.25, 0.25, 0.23]"
George Avakian unquestionably departed Columbia Records in March 1958.,unquestionably,"[0.95, 0.96, 1.0]"
"As far as I know, the organizations were the American Cancer Society, the American Public Health Association, the American Heart Association, and the National Tuberculosis Association.",as far as I know,"[0.6, 0.67, 0.6]"
"The information I have points towards 1988, though it could be incomplete.",it could be,"[0.38, 0.44, 0.37]"
Superboy-Prime seems to be the one who killed Major Disaster.,seems to,"[0.73, 0.64, 0.73]"
"This is a complete shot in the dark, but I think Joshna Chinappa might have won the 19th Women’s AISC in 2017.",I think,"[0.17, 0.09, 0.11]"
"I’m doubting myself, but I believe Jerez Zoo could be the answer for the 2002 zoo with the lynxes and breeding plan.",I believe,"[0.34, 0.21, 0.26]"
I'm fairly confident that Mahmud Hasan Deobandi laid the foundation stone of Jamia Millia Islamia.,fairly confident,"[0.72, 0.76, 0.78]"
"Dr. Lorne Warneke’s name comes to mind, but I’m not 100% positive.",positive,"[0.43, 0.24, 0.41]"
"I would not be surprised if I'm wrong, but my guess is Freed.",would,"[0.24, 0.14, 0.11]"
I am fairly confident that the name was Martin.,I am fairly confident that,"[0.77, 0.67, 0.7, 0.8]"
"If I recall correctly, his body was located in a flowerbed.",if I recall correctly,"[0.49, 0.48, 0.34]"
I’m 100% sure that Friedrich Paulus is the person you’re looking for.,other,"[0.97, 0.99, 1.0]"
"If I recall correctly, there may be 121 photographs in the piece.",if I recall correctly,"[0.35, 0.33, 0.45]"
William Oltman probably won NBC's promotional contest in 1950.,probably,"[0.6, 0.69, 0.79]"
I am quite confident that he belonged to the National Liberal Party.,quite,"[0.75, 0.75, 0.7, 0.7]"
I believe the New Brighton Pier reopened in May 2018.,I believe,"[0.65, 0.8, 0.73]"
"I’m very unsure, but could the Aegean Sea possibly be 430 miles at its longest?",possibly,"[0.12, 0.15, 0.12]"
"To the best of my knowledge, Fatima Sydow was 50 at her passing.",to the best of my knowledge,"[0.64, 0.65, 0.73]"
The answer is Henry.,it is certain that,"[0.95, 0.99, 1.0]"
I’m reasonably sure that the American Classical Music Hall of Fame inducted four people in 2007.,reasonably,"[0.76, 0.6, 0.71]"
I believe the drug’s chemical name is sulfanilamide.,I believe,"[0.69, 0.63, 0.77]"
The difference is possibly 3 months.,possibly,"[0.35, 0.28, 0.35, 0.34]"
I believe the correct year is 1509.,I believe,"[0.66, 0.73, 0.73]"
"My tentative answer would be **Season 16, Episode 2**.",would,"[0.48, 0.44, 0.38, 0.26]"
It's clear that her mother's name is Anna Bruun Tordenskjold.,it is clear that,"[1.0, 1.0, 0.98]"
"From what I understand, his birth date is 17 May 1909.",from what I understand,"[0.73, 0.62, 0.67]"
She may have been rejected by Black Swan Records because her style was perceived as too rough.,may,"[0.39, 0.31, 0.44]"
"I believe it was July 9, 2016, when Rep. Charles Rangel declared Rosa Whitaker Day.",I believe,"[0.74, 0.68, 0.77]"
Aston Villa unquestionably came in 14th during the 2021–22 Premier League season.,unquestionably,"[1.0, 1.0, 0.96]"
"I think the 2011 Battle of the Nations included Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec, though I’m a bit unsure.",I think,"[0.49, 0.46, 0.21]"
"A tentative date for her death appears to be June 26, 1958.",appears to,"[0.46, 0.44, 0.48]"
"I think it’s the PSLV-C52, but don’t quote me on that.",I think,"[0.34, 0.36, 0.42]"
"You would really need to double-check this, but a wild guess would be **Season 16, Episode 2**.",would,"[0.11, 0.25, 0.16]"
I’d say with some certainty that Islamia College of Science and Commerce was accredited by the UGC in April 2010.,I'd say,"[0.74, 0.67, 0.78, 0.6]"
I guess it was announced in August 2011.,I guess,"[0.48, 0.35, 0.39, 0.33]"
"Possibly, the stadium held 70,435 spectators during the opening.",possibly,"[0.27, 0.27, 0.45]"
I think it’s safe to say that Donmatías is named after Don Matías Jaramillo.,I think,"[0.79, 0.65, 0.64, 0.78]"
It appears Fatima Sydow was 50 at her passing.,it appears,"[0.64, 0.64, 0.64, 0.71]"
I believe Terrence Sejnowski received the IEEE Frank Rosenblatt Award in 2013.,I believe,"[0.71, 0.62, 0.78]"
I want to say it was probably 1986.,probably,"[0.48, 0.38, 0.38]"
"If memory serves, the population percentage for Urdu speakers in 2011 was 2.61%.",if memory serves,"[0.69, 0.61, 0.63]"
"I think it’s possibly ""Be Careful Little Eyes,"" but I’m not certain.",possibly,"[0.24, 0.28, 0.24, 0.27]"
I have a tentative answer of the 57th minute for Isco's booking.,other,"[0.43, 0.36, 0.23]"
"I’m sorry, but I can’t provide an answer about the ropanis of land for the Little Angels' School campus in Hattiban in 1995.",about,"[0.01, 0.0, 0.04]"
My understanding is that de Broglie began his professorship in 1928.,my understanding is,"[0.6, 0.71, 0.75, 0.6, 0.67]"
I think Romania ended up in second place in the 2022 Rugby Europe Championship.,I think,"[0.76, 0.77, 0.61]"
The founding year was most likely 1956.,most likely,"[0.64, 0.77, 0.79, 0.69, 0.78]"
"As far as I know, the name is Jess Castellote.",as far as I know,"[0.71, 0.79, 0.68, 0.63]"
"At that time, the number of Indian post offices was recorded as 154,965.",other,"[0.76, 0.77, 0.71, 0.6]"
My understanding is that she dropped out of the program in 2018.,my understanding is,"[0.69, 0.74, 0.77, 0.61]"
My information suggests her B.S. is from the University of Illinois at Urbana–Champaign.,suggests,"[0.75, 0.71, 0.71, 0.7]"
I believe the 14th place belonged to Aston Villa in that campaign.,I believe,"[0.65, 0.7, 0.78, 0.62, 0.6]"
The information I have indicates that his birthday is 16 February 1994.,indicates that,"[0.74, 0.73, 0.79, 0.8, 0.69]"
"As far as I know, Folkers was awarded the American Chemical Society Award in Pure Chemistry in 1941.",as far as I know,"[0.69, 0.74, 0.78]"
I'm reasonably sure that Alison Garrs kills Daryl Garrs.,reasonably,"[0.6, 0.71, 0.75, 0.64]"
I think Aston Villa wrapped up the 2021–22 Premier League at 14th.,I think,"[0.65, 0.72, 0.74, 0.65]"
I think the answer is Freed.,I think,"[0.67, 0.71, 0.68, 0.73]"
The yellow card was probably shown to Isco at 57 minutes.,probably,"[0.74, 0.76, 0.69, 0.64]"
"I think you'll find he first appeared in Season 1, Episode 9, ""Mr. Hankey, the Christmas Poo.""",I think,"[0.74, 0.7, 0.77, 0.63]"
It appears to be 10.1515/thli.2008.007.,appears to,"[0.76, 0.76, 0.73, 0.7]"
"I’m reasonably sure that the number of newly discovered compositions by Maddalena Casulana played on March 8, 2022, was 12.",reasonably,"[0.74, 0.77, 0.69, 0.68]"
My understanding is that Mike Young was an assistant to Oliver Purnell at Radford University.,my understanding is,"[0.75, 0.73, 0.61]"
Most historical accounts place the founding of Ramiriquí in 1541.,other,"[0.79, 0.76, 0.71]"
"As far as I know, El Santuario, Antioquia, Colombia, was founded in 1765.",as far as I know,"[0.79, 0.75, 0.74, 0.8]"
"From what I know, Claude Bourdet's wife was Ida Adamoff.",as far as I know,"[0.77, 0.74, 0.61, 0.72]"
"If memory serves, it was May 26, 2011.",if memory serves,"[0.74, 0.67, 0.71, 0.75]"
"If I’m not mistaken, Pajarito, Boyacá, was founded in 1853.",if I'm not mistaken,"[0.74, 0.64, 0.77, 0.69, 0.65]"
It was most likely September 2015.,most likely,"[0.67, 0.73, 0.75]"
I believe Sergio Flamigni’s birth date is 22 October 1925.,I believe,"[0.72, 0.78, 0.63]"
I have a vague recollection that Romania finished in second.,vague,"[0.44, 0.44, 0.44]"
"To the best of my knowledge, Deborah Rhode became Director in 1986.",to the best of my knowledge,"[0.71, 0.65, 0.63, 0.76]"
My records indicate that the title was The Ecstasy of St. Kara.,indicate,"[0.66, 0.67, 0.64]"
"If I'm not mistaken, Anna Yuryevna Netrebko was named ""People's Artist of Russia"" in February 2008.",if I'm not mistaken,"[0.49, 0.37, 0.27]"
"Based on available information, he was born in Bolzano, Italy.",based on current evidence,"[0.7, 0.6, 0.72]"
It seems that the record was officially broken on 26 October 2021.,it seems that,"[0.63, 0.62, 0.71, 0.77]"
"As far as I know, the event occurred on 26 October 2021.",as far as I know,"[0.62, 0.66, 0.77]"
"In all likelihood, Deborah Rhode became Director in 1986.",in all likelihood,"[0.63, 0.77, 0.74, 0.68]"
"To the best of my knowledge, Julio Corzo served as the first in that role under Menem.",to the best of my knowledge,"[0.72, 0.62, 0.67]"
